Latitude	Longitude
169521141	17.15	74.38
XC214126	15.29	74.01
184669401	12.9	80.22
216054191	12.9	80.23
232059081	13.48	74.73
228508191	30.44	77.68
63228591	12.33	76.62
64344761	27.98	73.35
174672131	13.09	77.57
107151221	15.34	76.46
174726841	15.43	75.04
181032631	19.47	72.76
107557071	15.34	76.46
106603621	28.51	76.85
63746571	21.04	75.85
179473831	12.93	80.22
217210291	23.07	87.33
171613351	12.83	80.04
XC201047	26.67	93.35
181041271	12.9	80.22
61710891	28.57	77.31
107236321	15.34	76.49
217909241	10.79	76.73
181032701	19.47	72.76
