	169521141	XC214126	184669401	216054191	232059081	228508191	63228591	64344761	174672131	107151221	174726841	181032631	107557071	106603621	63746571	179473831	217210291	171613351	XC201047	181041271	61710891	107236321	217909241	181032701
169521141	1	0.13	0.229	0.165	0.071	0.246	0.485	0.217	0.167	0.114	0.177	0.082	0.186	0.307	0.085	0.177	0.218	0.108	0.14	0.148	0.275	0.15	0.156	0.198
XC214126	0.13	1	0.305	0.289	0.382	0.174	0.094	0.394	0.261	0.302	0.198	0.324	0.239	0.159	0.184	0.102	0.041	0.067	0.287	0.224	0.112	0.178	0.149	0.208
184669401	0.229	0.305	1	0.114	0.254	0.169	0.133	0.309	0.188	0.202	0.145	0.267	0.118	0.181	0.242	0.032	0.045	0.167	0.177	0.185	0.11	0.081	0.131	0.22
216054191	0.165	0.289	0.114	1	0.275	0.216	0.215	0.174	0.156	0.184	0.273	0.053	0.311	0.159	0.08	0.195	0.105	0.16	0.318	0.337	0.339	0.157	0.451	0.245
232059081	0.071	0.382	0.254	0.275	1	0.116	0.15	0.331	0.189	0.232	0.079	0.299	0.12	0.126	0.217	0.133	0.029	0.121	0.338	0.228	0.041	0.117	0.232	0.305
228508191	0.246	0.174	0.169	0.216	0.116	1	0.351	0.294	0.117	0.149	0.492	0.121	0.182	0.618	0.147	0.065	0.151	0.359	0.101	0.13	0.149	0.152	0.129	0.11
63228591	0.485	0.094	0.133	0.215	0.15	0.351	1	0.113	0.122	0.055	0.266	0.077	0.183	0.364	0.076	0.15	0.117	0.184	0.125	0.101	0.239	0.102	0.174	0.126
64344761	0.217	0.394	0.309	0.174	0.331	0.294	0.113	1	0.271	0.264	0.208	0.255	0.171	0.146	0.338	0.096	0.157	0.092	0.204	0.18	0.116	0.263	0.093	0.24
174672131	0.167	0.261	0.188	0.156	0.189	0.117	0.122	0.271	1	0.288	0.082	0.226	0.121	0.234	0.209	0.338	0.385	0.152	0.119	0.22	0.068	0.561	0.068	0.341
107151221	0.114	0.302	0.202	0.184	0.232	0.149	0.055	0.264	0.288	1	0.249	0.343	0.169	0.232	0.247	0.201	0.04	0.134	0.252	0.298	0.089	0.28	0.142	0.521
174726841	0.177	0.198	0.145	0.273	0.079	0.492	0.266	0.208	0.082	0.249	1	0.092	0.178	0.286	0.14	0.079	0.096	0.36	0.123	0.139	0.097	0.187	0.143	0.19
181032631	0.082	0.324	0.267	0.053	0.299	0.121	0.077	0.255	0.226	0.343	0.092	1	0.149	0.09	0.356	0.082	0.393	0.063	0.268	0.28	0.068	0.224	0.12	0.213
107557071	0.186	0.239	0.118	0.311	0.12	0.182	0.183	0.171	0.121	0.169	0.178	0.149	1	0.116	0.128	0.133	0.213	0.192	0.109	0.222	0.444	0.11	0.176	0.114
106603621	0.307	0.159	0.181	0.159	0.126	0.618	0.364	0.146	0.234	0.232	0.286	0.09	0.116	1	0.089	0.101	0.08	0.276	0.111	0.114	0.137	0.326	0.131	0.163
63746571	0.085	0.184	0.242	0.08	0.217	0.147	0.076	0.338	0.209	0.247	0.14	0.356	0.128	0.089	1	0.074	0.155	0.101	0.114	0.301	0.083	0.134	0.105	0.18
179473831	0.177	0.102	0.032	0.195	0.133	0.065	0.15	0.096	0.338	0.201	0.079	0.082	0.133	0.101	0.074	1	0.162	0.192	0.104	0.151	0.072	0.224	0.027	0.184
217210291	0.218	0.041	0.045	0.105	0.029	0.151	0.117	0.157	0.385	0.04	0.096	0.393	0.213	0.08	0.155	0.162	1	0.067	0.015	0.261	0.038	0.343	0.1	0.144
171613351	0.108	0.067	0.167	0.16	0.121	0.359	0.184	0.092	0.152	0.134	0.36	0.063	0.192	0.276	0.101	0.192	0.067	1	0.117	0.105	0.155	0.11	0.124	0.153
XC201047	0.14	0.287	0.177	0.318	0.338	0.101	0.125	0.204	0.119	0.252	0.123	0.268	0.109	0.111	0.114	0.104	0.015	0.117	1	0.228	0.063	0.106	0.316	0.269
181041271	0.148	0.224	0.185	0.337	0.228	0.13	0.101	0.18	0.22	0.298	0.139	0.28	0.222	0.114	0.301	0.151	0.261	0.105	0.228	1	0.087	0.19	0.215	0.249
61710891	0.275	0.112	0.11	0.339	0.041	0.149	0.239	0.116	0.068	0.089	0.097	0.068	0.444	0.137	0.083	0.072	0.038	0.155	0.063	0.087	1	0.055	0.276	0.097
107236321	0.15	0.178	0.081	0.157	0.117	0.152	0.102	0.263	0.561	0.28	0.187	0.224	0.11	0.326	0.134	0.224	0.343	0.11	0.106	0.19	0.055	1	0.069	0.215
217909241	0.156	0.149	0.131	0.451	0.232	0.129	0.174	0.093	0.068	0.142	0.143	0.12	0.176	0.131	0.105	0.027	0.1	0.124	0.316	0.215	0.276	0.069	1	0.167
181032701	0.198	0.208	0.22	0.245	0.305	0.11	0.126	0.24	0.341	0.521	0.19	0.213	0.114	0.163	0.18	0.184	0.144	0.153	0.269	0.249	0.097	0.215	0.167	1
